English,Ahirani
Apple,Safarchand
Animal,Janavar
Air,Vara
All,Battha
Alive,Jivat
Anger,Santaap
Away,Dur
Around,Ajubaaju
Above,Var
Baby,Lekru
Ball,Cendu
Beautiful,Sundar
Brother,Bhau
Bird,Pakshi
Big,Mottha
Banana,Kel
Boat,Nav
Breakfast,Nasta
Book,Pustak
Cat,Manjar
Car,Gadi
Cold,Sardi/ Thanda
Cow,Gaay
Chair,Khudchi
Cup,Kap
Colour,Ranga
Cry,Rada
Close,Banda
Clock,Ghadyal
Dog,Kutra
Door,Darwaja
Dream,Swapna
Duck,Badak
Day,Din/Divas
Dirty,Gand
Date,Tarikh
Donkey,Gadhav
Dad,Baba/Pappa
Dust,Dhul
Egg,Anda
Elephant,Hatti
Ear,Kaan
Easy,Sopa
Evening,Sandhyakal
Eat,Kha
Example,Udaharan
Enjoy,Majja
Empty,Rikama
Education,Shikshan
Fish,Masa
Fan,Pankha
Food,Jevan/Anna
Friend,Mitra
Family,Kutumb
Fruit,Phal
Farm,Shet
Feel,Vatane
Fresh,Taaja
Face,Chehra
Girl,Por/Porgi
Game,Khel
Green,Hirva
Grapes,Drakshe
Glass,Kach
Go,Jaa
Grass,Gavat
Guest,Pahuna
Gold,Sona
Grow,Vadhna
House,Ghar
Hand,Haath
Help,Madat
Heart,Hriday
High,Ucch
Hope,Asha
Horse,Ghoda
Hard,Kathin
Holiday,Sutti
Heavy,Jadh
Ice,Barf
Idea,Vichar
Insect,Kida
Information,Mahiti
Important,Mahatvache
Ink,Shaai
Improve,Sudhar
Inside,Aat
Increase,Vadh
Intelligent,Buddhiman/Hushar
Jump,Udi/Kudne
Juice,Ras
Journey,Pravas
Job,Kaam
Judge,Nyayadheesh
Joke,Majak/Maskari
Jackfruit,Phanas
July,Julai
Key,Chavi
Knife,Chaku
Keep,Theva
Kite,Patang
Knot,Gath
Knee,Gudhga
Kill,Mara
Keen,Uthsahi
Know,Janane
King,Raja
Light,Ujadh
Laugh,hasne
Long,Lamb
Leaf,Paan
Love,Prem
Lion,Sinh
Listen,Aika
Lake,Talav
Lamp,Kandil
Learn,Shika
Line,Resh
Little,Lahan
Mother,Aai
Man,Manus
Money,Paisa
Milk,Doodh
Morning,Sakaal
Music,Gaana
Mango,Aamba
Market,Bazaar
Mountain,Dongar
Medicine,Aushash
Name,Naav
Night,Raat
New,Navin
Nine,Nau
Now,Aate
Near,Javal
Nice,Chan
New,Navin
Nail,Nakhe
Need,Garaj
Open,Ughda
Orange,Santri
Office,Karyalay
Old,Juna
Out,Baher
Onion,Kanda
One,Ek
Only,Fakta
Own,Swatahna
Option,Vikalp
Paper,Kagad
Picture,Chitra
Play,Khelna
Peace,Shanti
Plant,Rop
People,Loke
Plane,Vimaan
Price,Kimmat
Pain,Dukhha
Passenger,Yatri/Pravaasi
Question,Prashna
Quit,Shant
Quick,Lavkhar/Jalad
Quantity,Praman
Quarrel,Jhagda
Queen,Rani
Quality,Gunvatta
Queue,Pankti
Quarter,Chauthai
Qualify,Patrata
Rain,Paus
Red,Laal
Run,Paal/Dhaav
Road,Rasta
Rose,Gulab
Rice,Taandul
Rock,Dagada
Rabbit,Sasaa
Room,Kholi
Ring,Angthi
Sun,Surya
Sky,Aakash
Smile,Hasna
Snake,Saap
Sweet,God
Sister,Bahin
Song,Gaana
Sleep,Jhop
School,Shala
Sea,Samudra
Time,Vel
Tree,Jhaad
Talk,Bolna
Taste,Chav
Today,Aaj
Tall,Uncha
Tomato,Tamaata
Tooth,Daat
Together,Ekatra
Ten,Daha
Umbrella ,Chatri
Understand,Samajana
Up,Var
Use,Vapar
Uncle,Kaka
Under,Khali
Until,Paryant
Us,Amhi
Ugly,Kharab/Kurup
Universe,Vishwa
Vehicle,Vahan
Victory,Jinkna
Village,Gaav
Visit,Bhet
Voice,Aavaj
Vegetable,Bhaji-Pala
Very,Khup
Value,Mulya
Vote,Mat
Vacant,Rikama/Khali
Water,Pani
Walk,Chalna
Work,Kaam
Weather,Vatavaran
Warm,Garam
Week,Athavada
Woman,Bai
Wish,Iccha
Watch,Ghadyal
Wind,Hava
X-ray,Eks-re
Xerox,Zerox
Yes,Ho/Ha
Yellow,Pivla
Yesterday,Kaal/Kaaldin
Year,Varsha
Young,Tarun
Yield,Utpann
Youth,Yuva
Yummy,Chavista
Zero,Shunya
Zone,Kshetra
